2025-05-17 07:03:06,send,10000,연락처:홍길동/010-1234-5678,823468
2025-05-17 07:03:53,send,10000,연락처:홍길동/010-1234-5678,813468
2025-05-17 07:05:21,send,10000,연락처:장대한/010-1111-1111,803468
2025-05-17 07:05:25,send,10000,연락처:장대한/010-1111-1111,793468
2025-05-17 07:14:02,send,10000,연락처:장대한/010-1111-1111,783468
2025-05-17 07:23:12,send,10000,연락처:장대한/010-1111-1111,773468

2025-05-17 07:53:40,charge,150000,음성충전,871052
2025-05-17 07:53:52,charge,1000000,빠른충전,1871052
2025-05-17 07:54:17,send,4653,계좌:416532,1866399
2025-05-17 07:54:40,send,45312,연락처:김철수/010-8888-9999,1821087
2025-05-17 07:55:35,send,10000,계좌:12345678,1811087
2025-05-17 07:56:21,send,10000,연락처:장대한/010-1111-1111,1801087
